user_id,total_orders,frequency_group,segment_name
9082,100,1,High
21469,100,1,High
59333,100,1,High
8220,100,1,High
36588,100,1,High
26693,100,1,High
67643,100,1,High
18412,100,1,High
10747,100,1,High
69919,100,1,High
90221,100,1,High
13335,100,1,High
35475,100,1,High
16290,100,1,High
12772,100,1,High
101779,100,1,High
51127,100,1,High
34014,100,1,High
28238,100,1,High
87244,100,1,High
22802,100,1,High
10546,100,1,High
36916,100,1,High
16265,100,1,High
63073,100,1,High
48969,100,1,High
85602,100,1,High
59881,100,1,High
97290,100,1,High
69687,100,1,High
44363,100,1,High
67023,100,1,High
101518,100,1,High
67395,100,1,High
8086,100,1,High
78929,100,1,High
90654,100,1,High
69437,100,1,High
89012,100,1,High
95806,100,1,High
73676,100,1,High
29046,100,1,High
78677,100,1,High
100935,100,1,High
39046,100,1,High
79279,100,1,High
83068,100,1,High
63793,100,1,High
9911,100,1,High
7832,100,1,High
10293,100,1,High
43265,100,1,High
86109,100,1,High
68880,100,1,High
24659,100,1,High
71049,100,1,High
96577,100,1,High
16645,100,1,High
31186,100,1,High
71189,100,1,High
89553,100,1,High
11845,100,1,High
30056,100,1,High
95171,100,1,High
95063,100,1,High
25276,100,1,High
99570,100,1,High
99753,100,1,High
16313,100,1,High
73542,100,1,High
50817,100,1,High
36335,100,1,High
59191,100,1,High
66500,100,1,High
75517,100,1,High
21777,100,1,High
27907,100,1,High
29623,100,1,High
57851,100,1,High
7385,100,1,High
9036,100,1,High
22337,100,1,High
9682,100,1,High
66171,100,1,High
100316,100,1,High
32667,100,1,High
92546,100,1,High
9437,100,1,High
17086,100,1,High
19300,100,1,High
71821,100,1,High
72726,100,1,High
9513,100,1,High
103401,100,1,High
95062,100,1,High
65141,100,1,High
62866,100,1,High
22395,100,1,High
101797,100,1,High
21421,100,1,High
25220,100,1,High
22274,100,1,High
24908,100,1,High
18620,100,1,High
11588,100,1,High
67440,100,1,High
44431,100,1,High
34000,100,1,High
70742,100,1,High
72642,100,1,High
74896,100,1,High
45795,100,1,High
34340,100,1,High
60932,100,1,High
10046,100,1,High
97439,100,1,High
67736,100,1,High
91606,100,1,High
38720,100,1,High
16689,100,1,High
75124,100,1,High
84589,100,1,High
7278,100,1,High
103642,100,1,High
103737,100,1,High
11375,100,1,High
31087,100,1,High
47855,100,1,High
10502,100,1,High
31118,100,1,High
54957,100,1,High
47309,100,1,High
83326,100,1,High
31310,100,1,High
67481,100,1,High
104576,100,1,High
21283,100,1,High
17698,100,1,High
95861,100,1,High
61275,100,1,High
99727,100,1,High
59742,100,1,High
16298,100,1,High
32099,100,1,High
54594,100,1,High
81663,100,1,High
65039,100,1,High
91972,100,1,High
81625,100,1,High
97557,100,1,High
44228,100,1,High
38936,100,1,High
57838,100,1,High
43123,100,1,High
53976,100,1,High
77965,100,1,High
55806,100,1,High
19604,100,1,High
98085,100,1,High
62890,100,1,High
26715,100,1,High
24766,100,1,High
41356,100,1,High
99132,100,1,High
10934,100,1,High
28367,100,1,High
75825,100,1,High
36481,100,1,High
76678,100,1,High
33645,100,1,High
57367,100,1,High
27347,100,1,High
62205,100,1,High
81350,100,1,High
96230,100,1,High
91806,100,1,High
8832,100,1,High
89048,100,1,High
54844,100,1,High
65325,100,1,High
18085,100,1,High
101319,100,1,High
93942,100,1,High
85333,100,1,High
16340,100,1,High
29881,100,1,High
27036,100,1,High
97526,100,1,High
87638,100,1,High
44816,100,1,High
61777,100,1,High
96192,100,1,High
14923,100,1,High
55935,100,1,High
99707,100,1,High
36376,100,1,High
33513,100,1,High
66328,100,1,High
90555,100,1,High
67559,100,1,High
15221,100,1,High
25005,100,1,High
79708,100,1,High
81342,100,1,High
87238,100,1,High
94795,100,1,High
63726,100,1,High
7658,100,1,High
48527,100,1,High
32617,100,1,High
13927,100,1,High
12641,100,1,High
46408,100,1,High
75943,100,1,High
91957,100,1,High
47941,100,1,High
74680,100,1,High
58803,100,1,High
80189,100,1,High
42037,100,1,High
100325,100,1,High
40817,100,1,High
9333,100,1,High
100593,100,1,High
33104,100,1,High
91263,100,1,High
78644,100,1,High
99352,100,1,High
59535,100,1,High
53684,100,1,High
64512,100,1,High
7744,100,1,High
25306,100,1,High
69074,100,1,High
50024,100,1,High
61542,100,1,High
20451,100,1,High
31552,100,1,High
92366,100,1,High
98628,100,1,High
47666,100,1,High
83215,100,1,High
10600,100,1,High
79106,100,1,High
26092,100,1,High
19967,100,1,High
30686,100,1,High
41548,100,1,High
58091,100,1,High
19625,100,1,High
17155,100,1,High
41952,100,1,High
24531,100,1,High
97695,100,1,High
44599,100,1,High
99805,100,1,High
84478,100,1,High
7120,100,1,High
63718,100,1,High
45361,100,1,High
102551,100,1,High
49420,100,1,High
51309,100,1,High
19528,100,1,High
85182,100,1,High
43408,100,1,High
102256,100,1,High
87293,100,1,High
71782,100,1,High
92052,100,1,High
104339,100,1,High
74804,100,1,High
